customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
33234027_c0045,2025-04-08,138.89,7,135.48,Consumer,
33234027_c0046,2024-10-28,127.59,2,196.21,Consumer,returned
33234027_c0047,2024-10-05,119.77,10,65.86,SMB,
33234027_c0048,2025-09-01,115.48,5,86.97,Consumer,N/A
33234027_c0049,2025-12-29,1.76,4,44.23,SMB,N/A
33234027_c0050,2025-11-29,228.63,1,166.62,SMB,contacted
33234027_c0051,"Jul 04, 2025",20.05,2,1.64,SMB,returned
33234027_c0052,2026-01-30,231.59,6,237.32,SMB,returned
33234027_c0053,2025-02-27,19.63,3,0,Consumer,
33234027_c0054,2025-10-19,229.9,7,149.65,Consumer,
33234027_c0055,2025-04-24,110.94,4,113.94,SMB,N/A
33234027_c0056,2025-09-17,146.42,7,92.8,Consumer,
33234027_c0057,12/12/2024,160.33,6,,Consumer,
33234027_c0058,2024-09-26,257.29,8,186.33,Consumer,returned
33234027_c0059,N/A,215.55,5,,Consumer,contacted
33234027_c0060,01/02/2026,296.96,6,270.39,Consumer,
33234027_c0061,2025-02-07,52.64,4,63.06,Consumer,
33234027_c0062,2024-11-18,14.62,5,36.88,Consumer,
33234027_c0063,2025-10-21,50.19,7,118.69,Enterprise,
33234027_c0064,"Mar 23, 2025",199.98,6,,Consumer,no response
33234027_c0065,2025-01-13,149.16,5,149.35,Consumer,returned
33234027_c0066,2025-02-05,98.45,9,84.35,Consumer,
33234027_c0067,2025-12-29,89.5,5,19.47,SMB,
33234027_c0068,"Jul 24, 2025",112.62,9,63.7,Consumer,contacted
33234027_c0069,2024-12-02,96.21,5,50.37,SMB,
33234027_c0070,2025-12-26,175.69,6,54.91,Consumer,returned
33234027_c0071,2025-09-07,131.87,6,124.08,Consumer,returned
33234027_c0072,2025-07-17,68.48,5,76.11,Consumer,returned
33234027_c0073,2025-01-20,139.93,2,120.37,Consumer,
33234027_c0074,17/12/2024,111.11,4,71.53,SMB,no response
33234027_c0075,22/12/2025,276.59,5,289.05,SMB,
33234027_c0076,"Apr 13, 2025",198.02,2,246.7,Enterprise,returned
33234027_c0077,N/A,257.89,3,177.66,Enterprise,returned
33234027_c0078,N/A,146.17,3,,Consumer,
33234027_c0079,2025-08-18,163.89,8,,SMB,
33234027_c0080,2024-09-15,70.58,6,32.99,SMB,
33234027_c0081,23/04/2025,224.38,7,173.12,SMB,returned
33234027_c0082,"Jan 13, 2026",144.16,7,161.81,Consumer,returned
33234027_c0083,2025-02-05,218.66,8,263.71,Consumer,
33234027_c0084,2025-11-27,42.18,2,0,Consumer,returned
33234027_c0085,2025-11-22,173.78,4,188.29,SMB,
33234027_c0086,11/04/2025,59.8,0,52.36,SMB,
33234027_c0087,"Jan 01, 2025",14.42,1,0,SMB,
33234027_c0088,31/12/2024,60.14,3,84.21,SMB,returned
33234027_c0089,2026-01-01,67.86,5,0,SMB,
33234027_c0090,2025-07-17,81.69,3,54.26,SMB,
33234027_c0091,2024-09-24,166.32,6,58.9,Consumer,
33234027_c0092,2024-10-12,150.83,2,65.65,Consumer,
33234027_c0093,,168.86,4,79.8,Consumer,
33234027_c0094,25/09/2024,62.86,4,0,Consumer,contacted
33234027_c0095,2025-12-17,21.57,3,24.75,SMB,
33234027_c0096,2026-02-01,112.76,3,62.83,Consumer,returned
33234027_c0097,2024-12-11,64.09,6,60.27,Consumer,contacted
33234027_c0098,2024-10-19,88,6,41.86,Consumer,
33234027_c0099,2025-12-28,89.75,7,97.04,Enterprise,
33234027_c0100,2025-06-01,184.15,5,,Consumer,
33234027_c0101,"Mar 18, 2025",115.59,9,162.81,Consumer,
33234027_c0102,2026-01-10,28.17,1,,SMB,N/A
33234027_c0103,29/06/2025,136.14,3,117.66,Consumer,
33234027_c0104,03/10/2024,178.96,7,127.6,Consumer,contacted
33234027_c0105,20/12/2024,62.54,1,69.32,SMB,
33234027_c0106,"Apr 22, 2025",75.66,4,126.12,SMB,returned
33234027_c0107,2025-07-02,39.16,1,32.88,Consumer,contacted
33234027_c0108,10/02/2025,165.07,11,140.59,Consumer,
33234027_c0109,"Sep 01, 2025",154.63,8,,Enterprise,
33234027_c0110,2024-10-07,102.96,2,95.23,SMB,
33234027_c0111,19/01/2025,229.86,5,202.05,Enterprise,returned
33234027_c0112,"Dec 28, 2025",42,3,11.83,Consumer,
33234027_c0113,30/09/2025,81.54,2,31.2,Enterprise,
33234027_c0114,2025-09-30,51.57,7,,Enterprise,N/A
33234027_c0115,2025-04-20,78.28,4,40.53,Consumer,
33234027_c0116,2025-07-16,61.92,5,91.09,SMB,returned
33234027_c0117,2025-08-14,28.9,4,5.17,SMB,
33234027_c0118,2025-10-20,259.48,7,231.23,Consumer,
33234027_c0119,2025-07-12,87.14,5,,SMB,
33234027_c0120,2025-10-18,88.94,6,102.54,Consumer,
33234027_c0121,2025-01-09,143.48,3,142.92,Consumer,N/A
33234027_c0122,16/06/2025,227.37,7,213.17,Consumer,N/A
33234027_c0123,2026-01-03,264.01,6,136.76,Consumer,
33234027_c0124,2025-11-19,296.67,10,226.6,SMB,returned
33234027_c0125,2025-10-19,243.42,10,226.69,SMB,
33234027_c0126,2025-10-25,276.2,4,,Consumer,returned
33234027_c0127,"Aug 08, 2025",23.96,6,0,Consumer,contacted
33234027_c0128,2025-11-07,27.87,3,,Consumer,N/A
33234027_c0129,2024-10-10,210.94,13,138.08,Consumer,N/A
33234027_c0130,2025-10-02,69.92,2,96.77,Consumer,
33234027_c0131,"Nov 22, 2025",37.52,3,4.52,Consumer,returned
33234027_c0132,"Nov 11, 2024",85.17,3,47.38,SMB,returned
33234027_c0133,2026-01-03,207.79,7,130.84,SMB,
33234027_c0134,2024-09-17,114.19,7,86.4,Consumer,contacted
33234027_c0135,2025-04-15,29.28,4,6.57,SMB,N/A
33234027_c0136,2025-11-28,61.15,9,8.11,Consumer,
33234027_c0137,N/A,202.56,10,215.12,Consumer,
33234027_c0138,31/10/2025,253.57,8,188.63,Consumer,
33234027_c0139,2025-11-12,190.48,7,176.57,Consumer,
33234027_c0140,2025-08-14,91.49,7,148.19,Consumer,no response
33234027_c0141,2025-01-08,2.37,5,,Enterprise,
33234027_c0142,10/01/2025,219.2,7,201.59,SMB,
33234027_c0143,06/03/2025,295,7,,SMB,
33234027_c0144,01/01/2025,100,6,123,Consumer,
33234027_c0145,30/09/2024,296.75,9,235.63,SMB,contacted
33234027_c0146,19/10/2025,100.62,1,,Consumer,
33234027_c0147,"Nov 22, 2025",167.72,5,197.91,Enterprise,
33234027_c0148,2025-09-13,74.7,2,66.24,Enterprise,
33234027_c0149,2025-09-23,228.49,5,121.38,SMB,
33234027_c0150,"Apr 24, 2025",108.24,3,94.7,Consumer,
